Requirement_1,Requirement_2,Conflict_Type,Mathematical_Expression
The vehicle must achieve a fuel efficiency of at least 50 km/l.,Users should be able to turn off the headlight manually.,Sustainability Conflict,Constraint(The vehicle must ach → Users should be able)
The bike must have a top speed of 120 km/h.,The vehicle should be cost-effective and use affordable materials.,Regulatory Conflict,Constraint(The bike must have a → The vehicle should b)
The vehicle should include tubeless tires for durability and safety.,The two-wheeler should have a maximum curb weight of 120 kg.,Material Conflict,Constraint(The vehicle should i → The two-wheeler shou)
Users should be able to turn off the headlight manually.,The frame should be made of lightweight aluminum for efficiency.,Technology Conflict,Constraint(Users should be able → The frame should be )
"The vehicle should be affordable with a base price under $1,500.",The vehicle should be cost-effective and use affordable materials.,No Conflict,Constraint(The vehicle should b → The vehicle should b)
The engine should have a fuel injection system for optimized combustion.,The vehicle design should be compact and lightweight.,Material Conflict,Constraint(The engine should ha → The vehicle design s)
The bike should support over-the-air (OTA) software updates.,The engine must comply with strict noise restrictions.,Resource Conflict,Constraint(The bike should supp → The engine must comp)
The vehicle must meet Euro 6 emission standards.,The bike should support over-the-air (OTA) software updates.,Sustainability Conflict,Constraint(The vehicle must mee → The bike should supp)
The bike must have a top speed of 120 km/h.,The frame should be made of lightweight aluminum for efficiency.,Cost Conflict,Constraint(The bike must have a → The frame should be )
The vehicle must achieve a fuel efficiency of at least 50 km/l.,The bike should include an always-on headlight for safety compliance.,Sustainability Conflict,Constraint(The vehicle must ach → The bike should incl)
The vehicle should include tubeless tires for durability and safety.,The vehicle should incorporate modular components for easy customization.,Performance Conflict,Constraint(The vehicle should i → The vehicle should i)
The vehicle should be cost-effective and use affordable materials.,The two-wheeler should have a maximum curb weight of 120 kg.,No Conflict,Constraint(The vehicle should b → The two-wheeler shou)
The vehicle design should be compact and lightweight.,The wheels should be spoked to maintain classic aesthetics.,Material Conflict,Constraint(The vehicle design s → The wheels should be)
The vehicle should include tubeless tires for durability and safety.,The bike should include an always-on headlight for safety compliance.,Performance Conflict,Constraint(The vehicle should i → The bike should incl)
The engine must comply with strict noise restrictions.,The engine should have a minimum power output of 25 HP.,Design Conflict,Constraint(The engine must comp → The engine should ha)
The two-wheeler should have a maximum curb weight of 120 kg.,The engine should have a fuel injection system for optimized combustion.,Compliance Conflict,Constraint(The two-wheeler shou → The engine should ha)
The bike should have a storage compartment for a full-size helmet.,The vehicle should support fast charging to reach 80% in 30 minutes.,Performance Conflict,Constraint(The bike should have → The vehicle should s)
The instrument cluster should use analog dials to reduce complexity.,The wheels should be spoked to maintain classic aesthetics.,Regulatory Conflict,Constraint(The instrument clust → The wheels should be)
The two-wheeler should use biodegradable materials where possible.,The engine should have a minimum power output of 25 HP.,Cost Conflict,Constraint(The two-wheeler shou → The engine should ha)
The seat should be made of premium leather for comfort.,The onboard computer should be minimal to reduce electronic dependencies.,Material Conflict,Constraint(The seat should be m → The onboard computer)
The bike should support over-the-air (OTA) software updates.,The display panel must be fully digital with GPS navigation.,Design Conflict,Constraint(The bike should supp → The display panel mu)
The vehicle must include a high-capacity battery for extended electric range.,The bike should be resistant to extreme weather conditions.,Performance Conflict,Constraint(The vehicle must inc → The bike should be r)
The engine should have a fuel injection system for optimized combustion.,The bike should be resistant to extreme weather conditions.,Material Conflict,Constraint(The engine should ha → The bike should be r)
The vehicle should have a minimalistic dashboard design.,The vehicle should support smart connectivity via Bluetooth and Wi-Fi.,Sustainability Conflict,Constraint(The vehicle should h → The vehicle should s)
The seat should be made of premium leather for comfort.,The instrument cluster should use analog dials to reduce complexity.,No Conflict,Constraint(The seat should be m → The instrument clust)
The vehicle should be fully electric.,The bike must have a top speed of 120 km/h.,No Conflict,Constraint(The vehicle should b → The bike must have a)
The vehicle should include tubeless tires for durability and safety.,The vehicle should support smart connectivity via Bluetooth and Wi-Fi.,Cost Conflict,Constraint(The vehicle should i → The vehicle should s)
The bike should include an always-on headlight for safety compliance.,The instrument cluster should use analog dials to reduce complexity.,Material Conflict,Constraint(The bike should incl → The instrument clust)
The vehicle should have a minimalistic dashboard design.,The frame should be made of lightweight aluminum for efficiency.,Material Conflict,Constraint(The vehicle should h → The frame should be )
The engine must comply with strict noise restrictions.,The vehicle must achieve a fuel efficiency of at least 50 km/l.,Performance Conflict,Constraint(The engine must comp → The vehicle must ach)
