Requirement_1,Requirement_2,Conflict_Type
The vehicle must achieve a fuel efficiency of at least 50 km/l.,Users should be able to turn off the headlight manually.,Sustainability Conflict
The bike must have a top speed of 120 km/h.,The vehicle should be cost-effective and use affordable materials.,Regulatory Conflict
The vehicle should include tubeless tires for durability and safety.,The two-wheeler should have a maximum curb weight of 120 kg.,Material Conflict
Users should be able to turn off the headlight manually.,The frame should be made of lightweight aluminum for efficiency.,Technology Conflict
"The vehicle should be affordable with a base price under $1,500.",The vehicle should be cost-effective and use affordable materials.,No Conflict
The engine should have a fuel injection system for optimized combustion.,The vehicle design should be compact and lightweight.,Material Conflict
The bike should support over-the-air (OTA) software updates.,The engine must comply with strict noise restrictions.,Resource Conflict
The vehicle must meet Euro 6 emission standards.,The bike should support over-the-air (OTA) software updates.,Sustainability Conflict
The bike must have a top speed of 120 km/h.,The frame should be made of lightweight aluminum for efficiency.,Cost Conflict
The vehicle must achieve a fuel efficiency of at least 50 km/l.,The bike should include an always-on headlight for safety compliance.,Sustainability Conflict
The vehicle should include tubeless tires for durability and safety.,The vehicle should incorporate modular components for easy customization.,Performance Conflict
The vehicle should be cost-effective and use affordable materials.,The two-wheeler should have a maximum curb weight of 120 kg.,No Conflict
The vehicle design should be compact and lightweight.,The wheels should be spoked to maintain classic aesthetics.,Material Conflict
The vehicle should include tubeless tires for durability and safety.,The bike should include an always-on headlight for safety compliance.,Performance Conflict
The engine must comply with strict noise restrictions.,The engine should have a minimum power output of 25 HP.,Design Conflict
The two-wheeler should have a maximum curb weight of 120 kg.,The engine should have a fuel injection system for optimized combustion.,Compliance Conflict
The bike should have a storage compartment for a full-size helmet.,The vehicle should support fast charging to reach 80% in 30 minutes.,Performance Conflict
The instrument cluster should use analog dials to reduce complexity.,The wheels should be spoked to maintain classic aesthetics.,Regulatory Conflict
The two-wheeler should use biodegradable materials where possible.,The engine should have a minimum power output of 25 HP.,Cost Conflict
The seat should be made of premium leather for comfort.,The onboard computer should be minimal to reduce electronic dependencies.,Material Conflict
The bike should support over-the-air (OTA) software updates.,The display panel must be fully digital with GPS navigation.,Design Conflict
The vehicle must include a high-capacity battery for extended electric range.,The bike should be resistant to extreme weather conditions.,Performance Conflict
The engine should have a fuel injection system for optimized combustion.,The bike should be resistant to extreme weather conditions.,Material Conflict
The vehicle should have a minimalistic dashboard design.,The vehicle should support smart connectivity via Bluetooth and Wi-Fi.,Sustainability Conflict
The seat should be made of premium leather for comfort.,The instrument cluster should use analog dials to reduce complexity.,No Conflict
The vehicle should be fully electric.,The bike must have a top speed of 120 km/h.,No Conflict
The vehicle should include tubeless tires for durability and safety.,The vehicle should support smart connectivity via Bluetooth and Wi-Fi.,Cost Conflict
The bike should include an always-on headlight for safety compliance.,The instrument cluster should use analog dials to reduce complexity.,Material Conflict
The vehicle should have a minimalistic dashboard design.,The frame should be made of lightweight aluminum for efficiency.,Material Conflict
The engine must comply with strict noise restrictions.,The vehicle must achieve a fuel efficiency of at least 50 km/l.,Performance Conflict
The vehicle should be fully electric.,The onboard computer should be minimal to reduce electronic dependencies.,Technology Conflict
The bike should be resistant to extreme weather conditions.,The vehicle must meet Euro 6 emission standards.,Material Conflict
The vehicle should have a minimalistic dashboard design.,The wheels should be spoked to maintain classic aesthetics.,Technology Conflict
The bike should be resistant to extreme weather conditions.,The bike must have a top speed of 120 km/h.,Performance Conflict
The engine must comply with strict noise restrictions.,The vehicle should support smart connectivity via Bluetooth and Wi-Fi.,Performance Conflict
The onboard computer should be minimal to reduce electronic dependencies.,The bike should have a storage compartment for a full-size helmet.,Performance Conflict
The seat should be made of premium leather for comfort.,The vehicle should be cost-effective and use affordable materials.,Technology Conflict
The engine should have a minimum power output of 25 HP.,The engine should have a fuel injection system for optimized combustion.,Compliance Conflict
The two-wheeler should use biodegradable materials where possible.,The engine should have a fuel injection system for optimized combustion.,Cost Conflict
The vehicle should support smart connectivity via Bluetooth and Wi-Fi.,The bike should be resistant to extreme weather conditions.,Sustainability Conflict
The bike should support over-the-air (OTA) software updates.,The wheels should be spoked to maintain classic aesthetics.,Material Conflict
The display panel must be fully digital with GPS navigation.,The vehicle should have a minimalistic dashboard design.,Sustainability Conflict
The engine should have a fuel injection system for optimized combustion.,"The vehicle should be affordable with a base price under $1,500.",Design Conflict
The engine must comply with strict noise restrictions.,The two-wheeler must have a rearview camera for safety.,Cost Conflict
