Requirement ID,Requirement,Tokenized_Requirement,Encoded_Requirement
R001,the system must achieve a top speed of 80 km/h under standard conditions (rider weight 75 kg).,"['the', 'Ġsystem', 'Ġmust', 'Ġachieve', 'Ġa', 'Ġtop', 'Ġspeed', 'Ġof', 'Ġ80', 'Ġkm', '/', 'h', 'Ġunder', 'Ġstandard', 'Ġconditions', 'Ġ(', 'rider', 'Ġweight', 'Ġ75', 'Ġkg', ').']","[0, 627, 467, 531, 3042, 10, 299, 2078, 9, 1812, 6301, 73, 298, 223, 2526, 1274, 36, 42869, 2408, 3337, 14091, 322, 2]"
R002,the motor must respond to throttle input within 50 ms for smooth acceleration.,"['the', 'Ġmotor', 'Ġmust', 'Ġrespond', 'Ġto', 'Ġthrottle', 'Ġinput', 'Ġwithin', 'Ġ50', 'Ġms', 'Ġfor', 'Ġsmooth', 'Ġacceleration', '.']","[0, 627, 4243, 531, 2519, 7, 31224, 8135, 624, 654, 43601, 13, 6921, 19308, 4, 2]"
R003,the system must prioritize battery efficiency over performance when battery level drops below 20%.,"['the', 'Ġsystem', 'Ġmust', 'Ġprioritize', 'Ġbattery', 'Ġefficiency', 'Ġover', 'Ġperformance', 'Ġwhen', 'Ġbattery', 'Ġlevel', 'Ġdrops', 'Ġbelow', 'Ġ20', '%.']","[0, 627, 467, 531, 21790, 3822, 5838, 81, 819, 77, 3822, 672, 9305, 874, 291, 2153, 2]"
R004,the vehicle must maintain stability at speeds up to 80 km/h on wet surfaces.,"['the', 'Ġvehicle', 'Ġmust', 'Ġmaintain', 'Ġstability', 'Ġat', 'Ġspeeds', 'Ġup', 'Ġto', 'Ġ80', 'Ġkm', '/', 'h', 'Ġon', 'Ġwet', 'Ġsurfaces', '.']","[0, 627, 1155, 531, 3014, 5443, 23, 9706, 62, 7, 1812, 6301, 73, 298, 15, 7727, 17408, 4, 2]"
R005,the braking system must reduce speed from 60 km/h to 0 within 15 meters on dry pavement.,"['the', 'Ġbraking', 'Ġsystem', 'Ġmust', 'Ġreduce', 'Ġspeed', 'Ġfrom', 'Ġ60', 'Ġkm', '/', 'h', 'Ġto', 'Ġ0', 'Ġwithin', 'Ġ15', 'Ġmeters', 'Ġon', 'Ġdry', 'Ġpavement', '.']","[0, 627, 26500, 467, 531, 1888, 2078, 31, 1191, 6301, 73, 298, 7, 321, 624, 379, 7679, 15, 3841, 20518, 4, 2]"
R006,the regenerative braking system must recover at least 10% of energy during deceleration.,"['the', 'Ġregener', 'ative', 'Ġbraking', 'Ġsystem', 'Ġmust', 'Ġrecover', 'Ġat', 'Ġleast', 'Ġ10', '%', 'Ġof', 'Ġenergy', 'Ġduring', 'Ġde', 'celer', 'ation', '.']","[0, 627, 36445, 3693, 26500, 467, 531, 5312, 23, 513, 158, 207, 9, 1007, 148, 263, 24608, 1258, 4, 2]"
R007,the system must limit acceleration to 0.5 m/s² when carrying a passenger (total weight > 120 kg).,"['the', 'Ġsystem', 'Ġmust', 'Ġlimit', 'Ġacceleration', 'Ġto', 'Ġ0', '.', '5', 'Ġm', '/', 's', 'Â²', 'Ġwhen', 'Ġcarrying', 'Ġa', 'Ġpassenger', 'Ġ(', 'total', 'Ġweight', 'Ġ>', 'Ġ120', 'Ġkg', ').']","[0, 627, 467, 531, 3000, 19308, 7, 321, 4, 245, 475, 73, 29, 40632, 77, 3406, 10, 4408, 36, 30033, 2408, 8061, 5962, 14091, 322, 2]"
R008,the motor power output must not exceed 750w under normal operation.,"['the', 'Ġmotor', 'Ġpower', 'Ġoutput', 'Ġmust', 'Ġnot', 'Ġexceed', 'Ġ750', 'w', 'Ġunder', 'Ġnormal', 'Ġoperation', '.']","[0, 627, 4243, 476, 4195, 531, 45, 11514, 16725, 605, 223, 2340, 2513, 4, 2]"
R009,the system must support a range of 100 km on a single charge at 40 km/h.,"['the', 'Ġsystem', 'Ġmust', 'Ġsupport', 'Ġa', 'Ġrange', 'Ġof', 'Ġ100', 'Ġkm', 'Ġon', 'Ġa', 'Ġsingle', 'Ġcharge', 'Ġat', 'Ġ40', 'Ġkm', '/', 'h', '.']","[0, 627, 467, 531, 323, 10, 1186, 9, 727, 6301, 15, 10, 881, 1427, 23, 843, 6301, 73, 298, 4, 2]"
R010,the suspension must adjust automatically to road conditions within 100 ms.,"['the', 'Ġsuspension', 'Ġmust', 'Ġadjust', 'Ġautomatically', 'Ġto', 'Ġroad', 'Ġconditions', 'Ġwithin', 'Ġ100', 'Ġms', '.']","[0, 627, 5436, 531, 9160, 6885, 7, 921, 1274, 624, 727, 43601, 4, 2]"
